node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,is_wait_until_no_unavailable,cpu_limit,mem_limit,cpu_requests,mem_requests
['k8s02'],1,0,1,1,2.72554874420166,False,0.1,64,0.1,64
['k8s02'],1,0,2,2,2.483823776245117,False,0.1,64,0.1,64
['k8s02'],1,0,3,3,3.2815890312194824,False,0.1,64,0.1,64
['k8s02'],1,0,4,4,2.850743293762207,False,0.1,64,0.1,64
['k8s02'],1,0,5,5,4.484051465988159,False,0.1,64,0.1,64
['k8s02'],1,0,6,6,4.335784912109375,False,0.1,64,0.1,64
['k8s02'],1,0,7,7,5.597447872161865,False,0.1,64,0.1,64
['k8s02'],1,0,8,8,6.3992815017700195,False,0.1,64,0.1,64
['k8s02'],1,0,9,9,7.393944025039673,False,0.1,64,0.1,64
['k8s02'],1,0,10,10,8.41256856918335,False,0.1,64,0.1,64
['k8s02'],1,0,11,11,9.329333305358887,False,0.1,64,0.1,64
['k8s02'],1,0,12,12,10.601447820663452,False,0.1,64,0.1,64
['k8s02'],1,0,13,13,11.951364517211914,False,0.1,64,0.1,64
['k8s02'],1,0,14,14,11.585392951965332,False,0.1,64,0.1,64
['k8s02'],1,0,15,15,12.726438522338867,False,0.1,64,0.1,64
['k8s02'],1,0,16,16,13.166236400604248,False,0.1,64,0.1,64
['k8s02'],1,0,17,17,15.724353075027466,False,0.1,64,0.1,64
['k8s02'],1,0,18,18,16.368805408477783,False,0.1,64,0.1,64
['k8s02'],1,0,19,19,16.590774059295654,False,0.1,64,0.1,64
['k8s02'],1,0,20,20,18.3259220123291,False,0.1,64,0.1,64
['k8s02'],1,0,21,21,17.798465490341187,False,0.1,64,0.1,64
['k8s02'],1,0,22,22,19.520724773406982,False,0.1,64,0.1,64
['k8s02'],1,0,23,23,18.19350242614746,False,0.1,64,0.1,64
['k8s02'],1,0,24,24,20.544474840164185,False,0.1,64,0.1,64
['k8s02'],1,0,25,25,20.997775554656982,False,0.1,64,0.1,64
['k8s02'],1,0,26,26,21.9964702129364,False,0.1,64,0.1,64
['k8s02'],1,0,27,27,23.598349809646606,False,0.1,64,0.1,64
['k8s02'],1,0,28,28,24.777488470077515,False,0.1,64,0.1,64
['k8s02'],1,0,29,29,22.612043142318726,False,0.1,64,0.1,64
['k8s02'],1,0,30,30,24.96282410621643,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,1,1,2.738142251968384,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,2,2,2.6504855155944824,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,3,3,2.8305504322052,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,4,4,2.626262664794922,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,5,5,2.726318597793579,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,6,6,3.6220815181732178,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,7,7,3.9422035217285156,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,8,8,4.363866567611694,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,9,9,4.19818377494812,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,10,10,4.473715543746948,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,11,11,5.321015357971191,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,12,12,5.607429265975952,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,13,13,5.60587477684021,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,14,14,6.538364410400391,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,15,15,6.390261173248291,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,16,16,7.532165288925171,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,17,17,7.551133394241333,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,18,18,8.324066877365112,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,19,19,8.546834945678711,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,20,20,9.543778419494629,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,21,21,9.649445533752441,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,22,22,10.3837251663208,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,23,23,11.392683744430542,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,24,24,11.340340614318848,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,25,25,11.802153825759888,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,26,26,12.61563777923584,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,27,27,13.430295705795288,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,28,28,14.336890459060669,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,29,29,13.341148853302002,False,0.1,64,0.1,64
"['k8s02', 'k8s03']",2,0,30,30,14.808846235275269,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,1,1,2.4910788536071777,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,2,2,2.803258180618286,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,3,3,2.9682693481445312,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,4,4,3.090447187423706,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,5,5,2.7176461219787598,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,6,6,3.2666451930999756,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,7,7,2.738482713699341,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,8,8,2.939321517944336,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,9,9,3.6165988445281982,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,10,10,4.094254732131958,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,11,11,3.508667469024658,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,12,12,4.328595399856567,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,13,13,5.061048746109009,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,14,14,4.814728260040283,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,15,15,5.52823805809021,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,16,16,4.962418556213379,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,17,17,5.3954713344573975,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,18,18,5.408376932144165,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,19,19,6.391582012176514,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,20,20,6.415100574493408,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,21,21,6.372931957244873,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,22,22,6.83103609085083,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,23,23,6.575300931930542,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,24,24,7.527256488800049,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,25,25,8.39198923110962,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,26,26,8.579983234405518,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,27,27,9.321032285690308,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,28,28,9.407475709915161,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,29,29,9.329455375671387,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04']",3,0,30,30,9.335376977920532,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,1,1,2.4377551078796387,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,2,2,3.0647740364074707,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,3,3,3.113180160522461,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,4,4,2.488884925842285,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,5,5,3.256822347640991,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,6,6,2.8347818851470947,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,7,7,3.402085542678833,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,8,8,3.289395809173584,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,9,9,2.938432216644287,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,10,10,3.4999377727508545,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,11,11,3.509228467941284,False,0.1,64,0.1,64
"['k8s02', 'k8s03', 'k8s04', 'k8s05', 'k8s06', 'k8s07']",6,0,12,12,3.1814255714416504,False,0.1,64,0.1,64
