name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,is_wait_until_no_unavailable,cpu_limit,mem_limit,cpu_requests,mem_requests
nginx,default,['k8s02'],1,0,1,1,2.536228656768799,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.214097261428833,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.516805648803711,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.2664825916290283,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.3723840713500977,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.368973731994629,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.298703193664551,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,3.7089476585388184,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.500704050064087,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,3.6334187984466553,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.266119956970215,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.2699639797210693,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.361635684967041,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.290935516357422,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,3.7914700508117676,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.3469483852386475,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.152862310409546,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.5995051860809326,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.0691893100738525,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.9197838306427,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,3.9529964923858643,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.3881726264953613,False,0.1,64,0.1,64
