node_name_list,init_replicas,target_replicas,scaling_t,cpu_limit,mem_limit,cpu_requests,mem_requests
['kind-control-plane'],0,0,0.01598191261291504,0.1,128,0.1,128
['kind-control-plane'],0,1,1.1218030452728271,0.1,128,0.1,128
['kind-control-plane'],0,2,4.093734979629517,0.1,128,0.1,128
['kind-control-plane'],0,3,5.888849258422852,0.1,128,0.1,128
['kind-control-plane'],0,4,6.805790901184082,0.1,128,0.1,128
['kind-control-plane'],0,5,7.682274103164673,0.1,128,0.1,128
['kind-control-plane'],1,0,0.13471293449401855,0.1,128,0.1,128
['kind-control-plane'],1,1,0.017139911651611328,0.1,128,0.1,128
['kind-control-plane'],1,2,1.445115327835083,0.1,128,0.1,128
['kind-control-plane'],1,3,1.9948997497558594,0.1,128,0.1,128
['kind-control-plane'],1,4,3.757153034210205,0.1,128,0.1,128
['kind-control-plane'],1,5,4.883543014526367,0.1,128,0.1,128
['kind-control-plane'],2,0,0.1282057762145996,0.1,128,0.1,128
['kind-control-plane'],2,1,0.1329669952392578,0.1,128,0.1,128
['kind-control-plane'],2,2,0.016170978546142578,0.1,128,0.1,128
['kind-control-plane'],2,3,1.3521442413330078,0.1,128,0.1,128
['kind-control-plane'],2,4,1.9043662548065186,0.1,128,0.1,128
['kind-control-plane'],2,5,3.869107961654663,0.1,128,0.1,128
['kind-control-plane'],3,0,0.13344597816467285,0.1,128,0.1,128
['kind-control-plane'],3,1,0.13266992568969727,0.1,128,0.1,128
['kind-control-plane'],3,2,0.13200616836547852,0.1,128,0.1,128
['kind-control-plane'],3,3,0.016855955123901367,0.1,128,0.1,128
['kind-control-plane'],3,4,1.006903886795044,0.1,128,0.1,128
['kind-control-plane'],3,5,1.889451026916504,0.1,128,0.1,128
['kind-control-plane'],4,0,0.1303093433380127,0.1,128,0.1,128
['kind-control-plane'],4,1,0.13571906089782715,0.1,128,0.1,128
['kind-control-plane'],4,2,0.13523411750793457,0.1,128,0.1,128
['kind-control-plane'],4,3,0.12545299530029297,0.1,128,0.1,128
['kind-control-plane'],4,4,0.013230085372924805,0.1,128,0.1,128
['kind-control-plane'],4,5,1.7758660316467285,0.1,128,0.1,128
['kind-control-plane'],5,0,0.12897992134094238,0.1,128,0.1,128
['kind-control-plane'],5,1,0.13538265228271484,0.1,128,0.1,128
['kind-control-plane'],5,2,0.13951325416564941,0.1,128,0.1,128
['kind-control-plane'],5,3,0.12719011306762695,0.1,128,0.1,128
['kind-control-plane'],5,4,0.1256859302520752,0.1,128,0.1,128
['kind-control-plane'],5,5,0.015285968780517578,0.1,128,0.1,128
['kind-control-plane'],0,0,0.14050793647766113,0.1,192,0.1,192
['kind-control-plane'],0,1,3.3377699851989746,0.1,192,0.1,192
['kind-control-plane'],0,2,2.6522879600524902,0.1,192,0.1,192
['kind-control-plane'],0,3,4.660758018493652,0.1,192,0.1,192
['kind-control-plane'],0,4,7.336463928222656,0.1,192,0.1,192
['kind-control-plane'],0,5,7.992716073989868,0.1,192,0.1,192
['kind-control-plane'],1,0,0.13271713256835938,0.1,192,0.1,192
['kind-control-plane'],1,1,0.017559051513671875,0.1,192,0.1,192
['kind-control-plane'],1,2,1.5661511421203613,0.1,192,0.1,192
['kind-control-plane'],1,3,1.8978462219238281,0.1,192,0.1,192
['kind-control-plane'],1,4,3.8842051029205322,0.1,192,0.1,192
['kind-control-plane'],1,5,5.425524950027466,0.1,192,0.1,192
['kind-control-plane'],2,0,0.12728595733642578,0.1,192,0.1,192
['kind-control-plane'],2,1,0.13868403434753418,0.1,192,0.1,192
['kind-control-plane'],2,2,0.017322063446044922,0.1,192,0.1,192
['kind-control-plane'],2,3,1.6776258945465088,0.1,192,0.1,192
['kind-control-plane'],2,4,2.00390625,0.1,192,0.1,192
['kind-control-plane'],2,5,4.787403106689453,0.1,192,0.1,192
['kind-control-plane'],3,0,0.13046693801879883,0.1,192,0.1,192
['kind-control-plane'],3,1,0.13201403617858887,0.1,192,0.1,192
['kind-control-plane'],3,2,0.12787938117980957,0.1,192,0.1,192
['kind-control-plane'],3,3,0.01622915267944336,0.1,192,0.1,192
['kind-control-plane'],3,4,2.0066559314727783,0.1,192,0.1,192
['kind-control-plane'],3,5,1.910722017288208,0.1,192,0.1,192
['kind-control-plane'],4,0,0.13206005096435547,0.1,192,0.1,192
['kind-control-plane'],4,1,0.14129996299743652,0.1,192,0.1,192
['kind-control-plane'],4,2,0.12559103965759277,0.1,192,0.1,192
['kind-control-plane'],4,3,0.13091301918029785,0.1,192,0.1,192
['kind-control-plane'],4,4,0.017100095748901367,0.1,192,0.1,192
['kind-control-plane'],4,5,1.8124690055847168,0.1,192,0.1,192
['kind-control-plane'],5,0,0.12804079055786133,0.1,192,0.1,192
