name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,is_wait_until_no_unavailable,cpu_limit,mem_limit,cpu_requests,mem_requests
busybox,default,['k8s02'],1,0,1,1,nan,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.9330008029937744,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.382499933242798,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.2881362438201904,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.4104652404785156,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.3744912147521973,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.390209674835205,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.2702434062957764,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.2618589401245117,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.3812026977539062,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.276149272918701,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.376293659210205,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.384316921234131,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.408787488937378,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.384173631668091,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.1532604694366455,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.270787000656128,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.25028920173645,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.5074219703674316,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,1,1,2.40204119682312,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.514129877090454,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.692401170730591,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,3.1591691970825195,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.6260826587677,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.483684778213501,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.4927642345428467,False,0.1,64,0.1,64
