name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,cpu_limit,mem_limit,cpu_requests,mem_requests
busybox,default,['k8s02'],1,0,1,1,2.06177845001220703,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,1,1,2.1631875038146973,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,1,1,2.104532480239868,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,2,2,2.1058852672576904,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,2,2,2.18066668510437,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,2,2,2.170159101486206,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,4,4,2.668997287750244,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,4,4,2.6099069118499756,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,4,4,2.6228113174438477,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,8,8,30.155455350875854,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,8,8,30.145409107208252,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,8,8,30.15994381904602,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,10,10,30.140878677368164,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,10,10,30.13977551460266,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,10,10,30.18659210205078,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,16,16,30.147940635681152,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,16,16,30.14921474456787,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,16,16,30.13881754875183,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,20,20,30.14696955680847,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,20,20,30.181089878082275,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,20,20,30.14812135696411,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,30,30,30.171489715576172,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,30,30,30.164478063583374,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,30,30,30.14825177192688,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,40,40,30.15286087989807,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,40,40,30.141506910324097,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,40,40,30.13683009147644,0.1,32,0.1,32
